max_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-8.05664	-0.60425	-6.94885	-3.32336	2.11487
0.0005	-9.56726	-5.94177	8.7616	-4.22974	1.40991
0.001	-5.74036	-0.10071	10.27222	0.20142	0.30212
0.0015	0.10071	-3.22266	12.38708	-2.71912	6.2439
0.002	1.10779	-3.02124	0.90637	-0.20142	2.5177
0.0025	0.10071	-7.25098	1.3092	7.15027	0.90637
0.003	-9.06372	-8.96301	-5.13611	17.6239	10.67505
0.0035	-5.0354	-16.3147	-2.92053	13.89771	7.35168
0.004	-7.25098	-17.32178	-4.33044	9.06372	6.44531
0.0045	-5.84106	-15.20691	-4.93469	14.60266	3.52478
0.005	-6.64673	-14.40125	-5.13611	6.94885	8.15735
0.0055	-13.797	-15.81116	1.81274	15.20691	8.05664
0.006	-7.04956	-18.02673	-4.73328	13.19275	4.93469
0.0065	-10.37292	-15.20691	-11.07788	16.61682	10.17151
0.007	-22.76001	-6.74744	-12.28638	16.21399	9.36584
0.0075	-24.47205	-13.99841	-7.95593	13.59558	7.75452
0.008	-22.25647	-14.60266	-6.04248	7.75452	10.97717
0.0085	-18.93311	-13.99841	-4.22974	8.56018	12.5885
0.009	-16.51611	-9.16443	-4.73328	3.12195	10.37292
0.0095	-10.57434	-13.19275	-6.94885	4.02832	5.13611
0.01	-7.04956	-9.56726	-8.66089	1.61133	3.32336
0.0105	-1.81274	-7.35168	-16.41541	-7.04956	0.20142
0.011	-9.46655	-4.63257	-9.66797	-9.56726	1.10779
0.0115	-6.14319	1.10779	-8.05664	-7.95593	1.00708
0.012	-2.71912	7.85522	7.35168	-14.19983	3.62549
0.0125	1.3092	9.36584	15.00549	-19.63806	-4.12903
0.013	-0.30212	12.38708	15.81116	-24.67346	0.30212
0.0135	1.91345	11.07788	11.68213	-31.62231	7.04956
0.014	-1.3092	10.67505	16.11328	-32.52869	2.5177
0.0145	-0.70496	15.81116	8.45947	-30.41382	2.11487
0.015	-0.10071	12.5885	10.47363	-37.16125	5.33752
0.0155	0.60425	13.19275	5.84106	-41.39099	3.92761
0.016	9.06372	15.40833	5.74036	-46.62781	2.5177
0.0165	9.76868	12.5885	6.54602	-47.13135	-1.10779
0.017	6.54602	6.74744	13.09204	-37.86621	-2.5177
0.0175	9.36584	21.24939	11.98425	-36.25488	-12.38708
0.018	15.40833	13.59558	3.7262	-23.66638	-20.24231
0.0185	6.44531	10.37292	10.97717	-6.14319	-35.85205
0.019	-0.60425	9.06372	11.58142	13.99841	-43.00232
0.0195	2.5177	3.52478	12.99133	20.94727	-42.09595
0.02	4.53186	2.92053	5.74036	15.50903	-38.87329
0.0205	8.8623	1.81274	-0.50354	17.72461	-25.98267
0.021	8.66089	-3.42407	-8.56018	20.74585	-19.43665
0.0215	3.62549	-3.32336	-5.84106	23.8678	-2.61841
0.022	0.60425	-5.84106	-10.97717	22.86072	7.15027
0.0225	-2.71912	-15.40833	-10.27222	23.8678	13.59558
0.023	0.50354	-7.95593	-9.97009	29.40674	12.28638
0.0235	-10.87646	-7.25098	-15.40833	24.06921	7.35168
0.024	-14.60266	-10.27222	-10.97717	29.80957	15.91187
0.0245	-13.69629	-12.38708	-19.94019	26.68762	15.00549
0.025	-15.81116	-11.48071	-15.40833	22.6593	12.78992
0.0255	-12.18567	-13.19275	-21.04797	23.66638	13.59558
0.026	-16.41541	-13.797	-18.53027	15.40833	10.27222
0.0265	-15.81116	-13.797	-14.40125	20.74585	17.12036
0.027	-24.87488	-12.99133	-12.18567	18.42957	9.66797
0.0275	-16.91895	-11.38	-9.97009	14.90479	5.23682
0.028	-12.38708	-12.38708	-9.06372	16.81824	3.92761
0.0285	-7.5531	-7.45239	-8.35876	11.98425	5.53894
0.029	-1.2085	-12.28638	-5.0354	9.76868	-4.02832
0.0295	-3.22266	-11.58142	-10.87646	9.86938	0.10071
0.03	-7.95593	-6.2439	-7.35168	1.3092	0.30212
0.0305	-6.04248	1.51062	-6.74744	2.71912	-4.43115
0.031	-3.12195	4.22974	4.12903	-2.81982	-3.7262
0.0315	-2.41699	-0.10071	2.31628	-8.25806	-7.75452
0.032	-0.90637	4.12903	4.93469	-8.66089	-14.90479
0.0325	-1.91345	6.2439	7.15027	-10.37292	-13.29346
0.033	2.41699	12.18567	11.2793	-10.17151	-15.30762
0.0335	-8.66089	15.00549	15.20691	-10.77576	-15.1062
0.034	0	16.71753	13.19275	-16.41541	-13.19275
0.0345	3.52478	21.04797	13.59558	-22.45789	-13.09204
0.035	3.92761	18.93311	8.8623	-20.04089	-12.48779
0.0355	4.53186	22.15576	16.21399	-25.47913	-4.12903
0.036	2.92053	25.47913	6.64673	-21.45081	-0.60425
0.0365	6.14319	26.28479	7.5531	-19.63806	-5.43823
0.037	11.68213	15.1062	11.07788	-14.80408	6.04248
0.0375	13.89771	11.48071	5.43823	-17.6239	2.31628
0.038	12.48779	6.2439	4.53186	-14.40125	6.64673
0.0385	-2.92053	10.37292	4.22974	-16.91895	9.36584
0.039	-4.33044	2.5177	-3.8269	-7.75452	10.0708
0.0395	-4.33044	-1.61133	-2.5177	-7.35168	16.11328
0.04	0.20142	-4.33044	-1.51062	-0.30212	7.45239
0.0405	-0.70496	-7.04956	-7.95593	0.10071	8.7616
0.041	2.81982	-10.67505	-5.23682	1.71204	3.62549
0.0415	-9.16443	-12.08496	-11.2793	-0.10071	0.70496
0.042	-9.16443	-10.57434	-6.3446	4.83398	5.13611
0.0425	-6.14319	-14.19983	-10.0708	5.43823	2.5177
0.043	-8.7616	-19.23523	-10.57434	8.8623	-0.60425
0.0435	-9.46655	-24.47205	-13.29346	10.57434	2.01416
0.044	-6.04248	-11.88354	-7.35168	15.81116	-1.40991
0.0445	-5.94177	-13.49487	-8.25806	11.78284	-6.3446
0.045	2.31628	-16.81824	-9.56726	15.50903	-5.74036
0.0455	-1.51062	-18.02673	-11.2793	6.84814	-11.78284
0.046	-6.54602	-18.22815	-13.19275	20.84656	-7.65381
0.0465	-11.58142	-19.23523	-4.12903	21.04797	-4.53186
0.047	-8.56018	-17.12036	-8.25806	19.33594	-9.16443
0.0475	-10.57434	-15.1062	-0.50354	15.40833	-7.5531
0.048	-10.47363	-14.09912	-2.71912	15.30762	-3.7262
0.0485	-9.46655	-12.18567	-5.94177	11.98425	-3.12195
0.049	-8.8623	-14.40125	-4.12903	8.7616	6.74744
0.0495	-11.48071	-12.99133	-8.96301	-8.35876	2.11487
0.05	0	-11.58142	-8.7616	-10.57434	6.64673
0.0505	-5.94177	-3.02124	-2.61841	-20.04089	3.92761
0.051	-2.5177	-10.27222	-4.73328	-23.56567	7.65381
0.0515	-3.12195	-8.35876	-1.91345	-25.98267	0.20142
0.052	6.14319	-7.65381	5.53894	-27.99683	0.10071
0.0525	7.65381	-11.17859	0.30212	-20.04089	4.73328
0.053	9.86938	-5.23682	-0.90637	-23.26355	4.22974
0.0535	2.71912	-4.22974	2.81982	-21.3501	10.67505
0.054	2.11487	-7.04956	-1.3092	-5.94177	3.7262
0.0545	6.84814	-2.01416	-5.43823	2.31628	8.66089
0.055	6.94885	-2.11487	-2.81982	4.43115	1.71204
0.0555	9.97009	5.94177	11.38	-4.02832	2.61841
0.056	6.3446	7.15027	4.22974	-6.84814	-3.52478
0.0565	7.45239	6.94885	10.87646	-9.56726	-10.47363
0.057	-1.40991	12.48779	8.66089	-5.63965	-14.70337
0.0575	-6.14319	13.99841	5.53894	-4.73328	-3.92761
0.058	-1.51062	9.36584	1.91345	-9.36584	-0.70496
0.0585	-5.53894	-0.20142	0.80566	-10.57434	-1.61133
0.059	-12.08496	-3.12195	1.81274	-4.53186	-12.08496
0.0595	-0.80566	-0.70496	10.0708	0	-8.96301
0.06	2.31628	1.10779	8.96301	-1.2085	-7.75452
0.0605	-2.5177	3.62549	-1.40991	-0.80566	-8.56018
0.061	-3.62549	0.50354	-6.74744	1.81274	-3.32336
0.0615	-5.43823	-2.41699	-7.95593	-3.22266	-4.83398
0.062	-7.35168	-1.71204	-9.66797	7.15027	-3.12195
0.0625	-3.32336	-3.42407	-10.17151	15.30762	0
0.063	-1.51062	-2.92053	-11.58142	16.61682	0.20142
0.0635	-7.75452	-6.2439	-11.48071	13.59558	-2.31628
0.064	-10.97717	-10.57434	-12.18567	13.49487	0.80566
0.0645	-5.23682	-7.75452	-8.56018	17.6239	2.92053
0.065	-4.53186	-8.66089	-12.38708	12.18567	8.35876
0.0655	-4.63257	-16.21399	-11.58142	15.91187	1.81274
0.066	-4.12903	-13.39417	-12.38708	10.17151	7.95593
0.0665	1.51062	-22.05505	-17.52319	17.82532	0.10071
0.067	-5.74036	-20.34302	-19.33594	18.12744	11.88354
0.0675	-2.5177	-16.41541	-13.39417	18.63098	8.45947
0.068	1.61133	-17.01965	-6.2439	12.68921	10.97717
0.0685	-6.84814	-16.51611	-16.01257	9.76868	17.42249
0.069	-5.13611	-12.5885	-8.45947	0.50354	3.02124
0.0695	-12.38708	-8.96301	-4.22974	2.31628	3.12195
0.07	-9.26514	-8.7616	-5.74036	-3.52478	0.70496
0.0705	-6.94885	-6.64673	-4.22974	-0.90637	-8.96301
0.071	-6.94885	-5.43823	-5.63965	-4.33044	-11.88354
0.0715	-3.52478	-3.12195	0.90637	-11.88354	-16.81824
0.072	-2.71912	2.92053	-0.80566	-15.40833	-16.41541
0.0725	-3.52478	5.13611	5.53894	-15.00549	-18.8324
0.073	-3.7262	4.33044	4.93469	-17.22107	-17.01965
