chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-1.91345	-1.3092	-1.91345	3.7262	-0.50354
0.0005	-3.8269	-3.7262	2.5177	-3.52478	1.91345
0.001	-2.71912	-5.43823	5.0354	-5.0354	-2.11487
0.0015	-8.8623	0.20142	1.61133	-6.14319	2.21558
0.002	-3.62549	-3.62549	-6.14319	-14.90479	-1.40991
0.0025	-4.33044	1.81274	-4.73328	-4.33044	-10.47363
0.003	-6.44531	1.71204	-1.00708	3.62549	-10.87646
0.0035	-3.8269	-1.40991	-7.25098	7.95593	-0.10071
0.004	-2.92053	2.01416	-3.02124	1.61133	-2.41699
0.0045	-5.33752	6.64673	-6.54602	-1.40991	0.50354
0.005	-2.31628	-0.80566	2.01416	-0.10071	1.40991
0.0055	-5.74036	-1.40991	0	2.11487	-0.10071
0.006	-1.2085	-3.92761	-4.93469	-0.10071	-2.21558
0.0065	1.40991	-6.74744	-4.73328	-0.70496	-2.92053
0.007	-6.94885	-7.25098	-5.53894	-1.40991	-2.21558
0.0075	-3.52478	-7.5531	-1.3092	-2.5177	5.94177
0.008	0.80566	-5.84106	3.32336	-0.60425	4.22974
0.0085	-4.53186	1.91345	1.71204	4.43115	-0.30212
0.009	-4.53186	2.01416	0.50354	5.0354	-1.91345
0.0095	-4.33044	-9.56726	-1.3092	-0.90637	-5.23682
0.01	-1.81274	-2.61841	-6.3446	-10.57434	-2.81982
0.0105	-1.51062	-2.31628	-1.3092	-12.5885	-3.52478
0.011	-7.15027	-1.3092	-0.10071	-11.2793	-2.21558
0.0115	-1.71204	-2.31628	0.30212	-9.56726	-5.43823
0.012	-4.83398	-5.53894	-1.81274	-9.86938	-3.32336
0.0125	-4.02832	-4.43115	-7.45239	-17.6239	1.00708
0.013	-6.44531	-0.80566	0.50354	-4.73328	-14.40125
0.0135	-8.05664	0.50354	7.5531	5.63965	-12.38708
0.014	-5.33752	3.22266	3.02124	-0.40283	-2.31628
0.0145	1.51062	-6.14319	-8.7616	-0.90637	8.7616
0.015	-0.50354	-9.06372	-12.38708	0.60425	5.63965
0.0155	-9.16443	-5.94177	-8.56018	6.14319	1.71204
0.016	-12.78992	-1.00708	-0.80566	7.75452	-1.51062
0.0165	-7.85522	1.91345	-0.60425	-1.71204	-3.62549
0.017	-5.53894	-5.33752	-2.01416	-3.62549	-2.41699
0.0175	-4.33044	-13.99841	0.50354	0	-3.12195
0.018	4.12903	-6.74744	-0.20142	1.61133	-0.10071
0.0185	-0.90637	-8.7616	-0.40283	-10.37292	0.50354
0.019	-2.31628	-9.76868	-0.10071	-4.73328	-1.51062
0.0195	0.60425	-2.31628	2.41699	8.66089	-9.66797
0.02	-1.71204	1.61133	2.41699	6.54602	-1.91345
0.0205	-0.50354	-7.04956	-2.01416	-4.83398	-1.81274
0.021	-4.73328	-9.56726	-2.71912	-10.87646	5.13611
0.0215	-0.10071	-10.0708	-4.73328	-20.44373	3.7262
0.022	-9.56726	-4.12903	-2.11487	-8.25806	-1.81274
0.0225	-8.15735	-1.10779	1.51062	2.92053	-5.53894
0.023	-10.17151	0.50354	7.35168	-0.80566	0.50354
0.0235	2.11487	-0.70496	3.92761	5.33752	3.7262
0.024	-0.30212	-3.8269	-5.84106	24.47205	-1.00708
0.0245	-3.62549	-7.04956	-2.71912	18.63098	10.37292
0.025	-0.90637	-8.35876	-6.94885	7.04956	5.33752
0.0255	-3.52478	-4.53186	-2.5177	0.70496	-0.50354
0.026	-4.93469	-10.77576	4.53186	-3.12195	6.44531
0.0265	-6.94885	-6.3446	3.52478	-2.31628	-0.90637
0.027	-1.51062	-1.00708	3.92761	-0.70496	-4.12903
0.0275	-4.33044	3.02124	-2.11487	6.84814	-6.94885
0.028	2.31628	5.33752	-2.21558	1.3092	0.50354
0.0285	-2.31628	2.41699	-1.40991	-1.10779	-4.33044
0.029	-1.3092	-0.30212	5.23682	3.22266	-7.5531
0.0295	-4.33044	-4.22974	-2.01416	2.31628	-6.94885
0.03	-1.81274	-4.53186	3.42407	2.61841	-9.26514
0.0305	-7.15027	-1.40991	-5.53894	0.10071	-5.94177
0.031	-2.71912	-4.53186	-5.23682	2.31628	-8.05664
0.0315	-2.81982	-4.53186	1.3092	-0.40283	-1.71204
0.032	-5.94177	-4.12903	-1.51062	1.3092	0.70496
0.0325	0.20142	-4.33044	-4.12903	3.42407	4.12903
0.033	-8.35876	-7.85522	-15.71045	1.10779	4.53186
0.0335	-3.92761	-4.53186	-10.77576	1.71204	14.19983
0.034	-7.35168	-2.5177	-3.92761	-5.74036	4.53186
0.0345	-4.53186	-0.40283	-6.74744	-12.89062	0.30212
0.035	-5.13611	1.3092	-5.94177	-16.11328	2.31628
0.0355	-6.74744	-1.2085	-1.81274	-8.25806	-9.76868
0.036	-6.84814	0.10071	0.40283	1.61133	-5.43823
0.0365	0.40283	-1.51062	5.74036	4.33044	0.30212
0.037	-0.90637	2.92053	-0.60425	-0.20142	-0.10071
0.0375	-5.63965	-0.30212	-8.96301	1.81274	-4.93469
0.038	-12.48779	-3.22266	-2.5177	-1.61133	-7.5531
0.0385	-2.21558	-2.5177	0.50354	-16.41541	9.66797
0.039	1.40991	-4.12903	-7.04956	-19.53735	6.74744
0.0395	-6.04248	-8.8623	-12.38708	-6.14319	2.61841
0.04	-4.63257	-9.66797	-7.35168	11.98425	-2.21558
0.0405	-7.95593	-7.35168	-3.12195	25.47913	-2.41699
0.041	-9.06372	-4.33044	3.7262	14.90479	-4.53186
0.0415	-6.94885	2.5177	13.09204	2.71912	-0.50354
0.042	-5.63965	1.3092	15.81116	-2.01416	1.91345
0.0425	5.74036	-0.50354	0.40283	-1.2085	-3.52478
0.043	3.02124	-4.73328	-6.54602	-5.53894	6.2439
0.0435	12.18567	-11.17859	-9.16443	-0.80566	2.31628
0.044	4.93469	-5.84106	-9.46655	-4.53186	8.56018
0.0445	1.71204	0.30212	-8.96301	-8.66089	3.62549
0.045	-5.53894	4.53186	1.3092	-14.80408	3.22266
0.0455	-7.85522	2.41699	1.3092	-7.15027	-11.88354
0.046	-9.76868	8.56018	-1.3092	2.92053	-12.48779
0.0465	-8.8623	-3.62549	-4.63257	2.81982	1.51062
0.047	-5.0354	-1.61133	3.32336	-1.40991	2.61841
0.0475	-12.18567	-3.7262	8.7616	-4.22974	-6.14319
0.048	-4.12903	3.52478	4.12903	-5.84106	-8.66089
0.0485	-2.11487	-7.25098	3.22266	-3.92761	-1.71204
0.049	0.90637	-6.74744	0.20142	2.71912	-7.15027
0.0495	-0.80566	-7.35168	-1.51062	3.8269	-2.5177
0.05	-11.2793	-2.81982	-3.7262	3.52478	0.90637
0.0505	-11.48071	-10.17151	1.00708	-10.27222	1.91345
